,distance,weight,selected,diversity
0,euclidean,0.0,"[(23, 153, 160, 207), (153, 160, 197, 207)]",0.997394855855
1,euclidean,0.25,"[(153, 160, 197, 207)]",1.0410781678
2,euclidean,0.5,"[(153, 160, 197, 207)]",1.08476147975
3,euclidean,0.75,"[(153, 160, 197, 207)]",1.1284447917
4,euclidean,1.0,"[(74, 160, 179, 197)]",1.22838886568
5,cityblock,0.0,"[(65, 153, 197, 207)]",1.48663001702
6,cityblock,0.25,"[(153, 160, 197, 207)]",1.55163725716
7,cityblock,0.5,"[(153, 160, 197, 207)]",1.6301878858
8,cityblock,0.75,"[(153, 160, 197, 207)]",1.70873851445
9,cityblock,1.0,"[(74, 160, 179, 197)]",1.86161879752
